ticker,sector,split,days,base_trades,base_win_rate,base_pf,base_pnl,base_max_dd,vol_trades,vol_win_rate,vol_pf,vol_pnl,vol_max_dd,delta_wr,delta_pf,delta_pnl
NVDA,Technology,full,60,20,50.0,1.16,1.53,-4.35,8,87.5,7.27,7.17,-1.14,37.5,6.11,5.64
NVDA,Technology,is,36,14,50.0,1.34,2.11,-3.64,6,100.0,7661.15,7.66,0.0,50.0,7659.81,5.55
NVDA,Technology,oos,24,7,57.1,1.52,1.8,-1.45,3,66.7,2.65,1.89,-1.14,9.5,1.13,0.09
TSLA,Consumer Cyclical,full,60,13,38.5,0.99,-0.09,-5.38,7,71.4,118.71,7.73,-0.06,33.0,117.73,7.82
TSLA,Consumer Cyclical,is,36,10,30.0,0.84,-1.03,-5.38,5,60.0,91.51,5.94,-0.06,30.0,90.66,6.98
TSLA,Consumer Cyclical,oos,24,4,75.0,2.38,1.34,-0.97,3,100.0,2186.93,2.19,0.0,25.0,2184.55,0.85
NFLX,Communication Services,full,60,29,34.5,0.7,-4.97,-7.37,17,64.7,2.43,5.78,-2.14,30.2,1.74,10.75
NFLX,Communication Services,is,36,17,29.4,0.47,-5.83,-5.94,9,66.7,1.89,2.14,-2.14,37.3,1.42,7.97
NFLX,Communication Services,oos,24,13,46.2,1.6,3.22,-2.97,9,66.7,4.66,6.0,-1.64,20.5,3.05,2.78
AMZN,Consumer Cyclical,full,60,19,57.9,1.89,6.24,-2.51,13,76.9,88.56,11.8,-0.08,19.0,86.67,5.56
AMZN,Consumer Cyclical,is,36,15,60.0,2.07,5.93,-2.51,10,80.0,124.61,10.1,-0.08,20.0,122.54,4.18
AMZN,Consumer Cyclical,oos,24,4,50.0,1.22,0.31,-1.43,3,66.7,32.96,1.69,-0.05,16.7,31.74,1.38
BAC,Financial Services,full,60,26,42.3,0.82,-2.55,-6.55,19,73.7,3.0,7.79,-1.61,31.4,2.18,10.34
BAC,Financial Services,is,36,19,52.6,1.37,2.74,-4.55,15,73.3,4.16,7.22,-1.17,20.7,2.79,4.48
BAC,Financial Services,oos,24,7,14.3,0.19,-5.29,-5.72,4,75.0,1.35,0.57,0.0,60.7,1.16,5.86
T,Communication Services,full,60,37,48.6,1.07,0.79,-3.76,29,69.0,5.12,9.99,-1.16,20.3,4.05,9.2
T,Communication Services,is,36,22,54.5,1.47,2.74,-2.37,17,76.5,5.57,6.91,-1.16,21.9,4.1,4.16
T,Communication Services,oos,24,15,40.0,0.65,-1.95,-3.42,12,58.3,4.37,3.08,-0.82,18.3,3.72,5.03
AAPL,Technology,full,60,31,32.3,0.73,-3.46,-4.66,15,60.0,4.8,7.11,-0.91,27.7,4.07,10.56
AAPL,Technology,is,36,19,36.8,0.77,-1.76,-4.66,9,55.6,5.49,3.99,-0.47,18.7,4.72,5.75
AAPL,Technology,oos,24,12,25.0,0.66,-1.69,-4.07,6,66.7,4.17,3.12,-0.91,41.7,3.51,4.81
PFE,Healthcare,full,60,35,48.6,0.91,-1.22,-5.27,26,73.1,8.3,13.66,-0.96,24.5,7.39,14.88
PFE,Healthcare,is,36,24,41.7,0.65,-3.87,-5.27,15,66.7,10.38,7.1,-0.4,25.0,9.73,10.97
PFE,Healthcare,oos,24,11,63.6,1.83,2.65,-2.51,11,81.8,6.89,6.56,-0.96,18.2,5.06,3.91
AMD,Technology,full,60,11,54.5,1.46,2.53,-4.11,5,100.0,5690.52,5.69,0.0,45.5,5689.05,3.16
AMD,Technology,is,36,7,57.1,2.16,2.98,-1.24,2,100.0,1737.86,1.74,0.0,42.9,1735.7,-1.24
AMD,Technology,oos,24,5,60.0,0.94,-0.16,-2.87,4,100.0,4236.63,4.24,0.0,40.0,4235.69,4.4
MSFT,Technology,full,60,27,37.0,0.63,-3.72,-4.72,19,57.9,2.67,4.75,-2.06,20.9,2.04,8.48
MSFT,Technology,is,36,16,31.2,0.74,-1.64,-4.03,10,40.0,1.39,0.99,-2.06,8.8,0.65,2.62
MSFT,Technology,oos,24,12,41.7,0.36,-3.26,-2.89,10,70.0,2.75,2.59,-0.31,28.3,2.39,5.86
GOOGL,Communication Services,full,60,24,54.2,1.54,3.59,-2.6,15,73.3,18.79,6.6,-0.33,19.2,17.25,3.01
GOOGL,Communication Services,is,36,15,60.0,1.65,2.88,-1.86,8,87.5,116.57,4.47,-0.04,27.5,114.92,1.58
GOOGL,Communication Services,oos,24,9,44.4,1.31,0.71,-1.34,7,57.1,7.42,2.13,-0.28,12.7,6.11,1.42
CCL,Consumer Cyclical,full,60,14,42.9,1.17,1.19,-5.59,12,58.3,3.23,5.51,-1.28,15.5,2.05,4.32
CCL,Consumer Cyclical,is,36,13,46.2,1.19,1.29,-5.59,11,63.6,3.37,5.62,-1.28,17.5,2.18,4.32
CCL,Consumer Cyclical,oos,24,2,0.0,0.0,-1.68,-0.11,1,0.0,0.0,-0.11,0.0,0.0,0.0,1.57
ORCL,Technology,full,60,14,50.0,0.7,-3.24,-8.11,9,66.7,1.05,0.29,-4.25,16.7,0.34,3.52
ORCL,Technology,is,36,10,70.0,1.4,2.22,-4.76,5,80.0,1.07,0.24,-3.6,10.0,-0.34,-1.97
ORCL,Technology,oos,24,5,0.0,0.0,-6.83,-5.45,5,60.0,1.22,0.53,-2.31,60.0,1.22,7.36
AVGO,Technology,full,60,17,58.8,1.71,6.36,-4.23,13,92.3,12.17,11.48,-1.03,33.5,10.46,5.12
AVGO,Technology,is,36,12,58.3,1.35,2.49,-3.66,8,100.0,6414.41,6.41,0.0,41.7,6413.06,3.92
AVGO,Technology,oos,24,6,50.0,1.87,2.67,-1.03,6,66.7,2.74,3.87,-1.03,16.7,0.88,1.2
CSCO,Technology,full,60,29,58.6,1.82,6.32,-2.32,24,79.2,5.34,12.53,-1.51,20.5,3.53,6.21
CSCO,Technology,is,36,19,63.2,1.94,4.43,-1.51,15,80.0,4.02,6.86,-1.51,16.8,2.08,2.44
CSCO,Technology,oos,24,10,50.0,1.63,1.9,-2.32,9,77.8,10.27,5.67,-0.49,27.8,8.64,3.77
PYPL,Financial Services,full,60,22,68.2,0.89,-1.33,-6.12,17,88.2,3.22,6.44,-1.59,20.1,2.33,7.76
PYPL,Financial Services,is,36,18,72.2,1.05,0.46,-3.87,14,92.9,6.77,7.56,-1.31,20.6,5.72,7.1
PYPL,Financial Services,oos,24,4,50.0,0.21,-1.79,-0.66,3,66.7,0.29,-1.12,0.0,16.7,0.09,0.66
XOM,Energy,full,60,25,68.0,2.42,10.27,-2.28,21,90.5,7.88,16.21,-2.28,22.5,5.46,5.93
XOM,Energy,is,36,18,66.7,2.74,7.79,-1.31,14,92.9,156.64,12.54,-0.08,26.2,153.9,4.75
XOM,Energy,oos,24,8,62.5,1.9,2.48,-2.28,8,75.0,2.6,3.66,-2.28,12.5,0.7,1.18
WMT,Consumer Defensive,full,60,38,50.0,1.12,1.61,-3.14,31,71.0,3.21,10.44,-1.13,21.0,2.09,8.83
WMT,Consumer Defensive,is,36,24,54.2,1.42,3.39,-2.31,19,73.7,4.04,8.16,-0.81,19.5,2.62,4.77
WMT,Consumer Defensive,oos,24,14,42.9,0.67,-1.78,-3.14,12,66.7,2.12,2.28,-1.13,23.8,1.44,4.06
GOOG,Communication Services,full,60,23,60.9,1.74,4.48,-2.88,15,86.7,51.45,9.14,-0.1,25.8,49.71,4.67
GOOG,Communication Services,is,36,16,62.5,1.77,3.48,-1.86,10,90.0,90.56,7.45,-0.08,27.5,88.8,3.97
GOOG,Communication Services,oos,24,7,57.1,1.67,0.99,-1.48,5,80.0,18.25,1.69,-0.1,22.9,16.58,0.7
FCX,Basic Materials,full,60,7,57.1,1.67,2.2,-3.16,7,71.4,4.2,4.25,-1.22,14.3,2.53,2.05
FCX,Basic Materials,is,36,5,60.0,1.01,0.04,-3.16,5,80.0,2.72,2.09,-1.22,20.0,1.71,2.05
FCX,Basic Materials,oos,24,3,33.3,0.92,-0.19,-0.11,3,33.3,0.92,-0.19,-0.11,0.0,0.0,0.0
UBER,Technology,full,60,26,57.7,1.22,3.03,-3.8,24,79.2,3.78,14.05,-2.02,21.5,2.56,11.02
UBER,Technology,is,36,17,47.1,0.96,-0.4,-3.8,15,73.3,3.69,8.17,-1.07,26.3,2.73,8.57
UBER,Technology,oos,24,9,77.8,2.15,3.43,-2.02,9,88.9,3.92,5.88,-2.02,11.1,1.77,2.45
NOW,Technology,full,60,16,50.0,1.36,3.19,-3.73,12,75.0,5.14,10.78,-2.45,25.0,3.78,7.59
NOW,Technology,is,36,10,50.0,1.79,3.9,-2.41,7,85.7,68.45,10.06,-0.15,35.7,66.66,6.16
NOW,Technology,oos,24,7,42.9,0.47,-3.52,-3.73,5,60.0,1.29,0.72,-2.45,17.1,0.82,4.24
KO,Consumer Defensive,full,60,47,53.2,1.41,4.69,-2.59,39,71.8,4.59,11.43,-1.35,18.6,3.18,6.74
KO,Consumer Defensive,is,36,29,48.3,1.23,1.85,-2.44,23,69.6,5.31,8.01,-1.35,21.3,4.08,6.16
KO,Consumer Defensive,oos,24,18,61.1,1.81,2.84,-1.98,16,75.0,3.58,3.42,-0.6,13.9,1.76,0.58
C,Financial Services,full,60,18,27.8,0.41,-6.89,-7.85,11,81.8,20.94,6.22,-0.24,54.0,20.52,13.12
C,Financial Services,is,36,15,33.3,0.63,-2.91,-6.42,9,88.9,23.01,5.36,-0.24,55.6,22.38,8.27
C,Financial Services,oos,24,3,0.0,0.0,-3.98,-2.53,2,50.0,13.57,0.86,0.0,50.0,13.57,4.84
DOW,Basic Materials,full,60,16,50.0,1.02,0.22,-6.45,13,76.9,4.14,10.08,-1.49,26.9,3.12,9.86
DOW,Basic Materials,is,36,9,55.6,1.21,1.15,-4.73,7,85.7,21.61,7.0,-0.34,30.2,20.41,5.86
DOW,Basic Materials,oos,24,7,42.9,0.85,-0.92,-3.31,6,66.7,2.07,3.08,-1.37,23.8,1.22,4.0
META,Communication Services,full,60,22,40.9,0.98,-0.21,-3.71,14,92.9,126.11,13.15,-0.11,51.9,125.13,13.37
META,Communication Services,is,36,18,44.4,1.29,2.65,-2.18,12,91.7,114.8,11.96,-0.11,47.2,113.52,9.32
